EmpId,StandardHours,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
100994,200,31,6232,11,0
100995,200,66,13247,11,1
100996,200,20,4081,14,0
100997,200,29,5769,11,0
100998,200,12,2394,13,0
100999,200,20,3904,12,0
101000,200,84,16799,14,1
101001,200,15,2950,13,0
101002,200,18,3629,18,0
101003,200,47,9362,11,0
101004,200,16,3229,11,1
101005,200,18,3578,12,0
101006,200,40,7988,13,0
101007,200,21,4284,20,0
101008,200,38,7553,12,0
101009,200,87,17328,19,0
101010,200,99,19701,21,1
101011,200,74,14732,13,2
101012,200,46,9278,16,0
101013,200,7,1359,12,0
101014,200,24,4779,14,2
101015,200,82,16422,11,0
101016,200,15,2996,14,2
101017,200,6,1261,12,0
101018,200,10,2099,14,0
101019,200,29,5810,16,0
101020,200,28,5647,13,2
101021,200,17,3420,12,1
101022,200,22,4400,12,0
101023,200,18,3500,14,0
101024,200,10,2066,22,1
101025,200,86,17169,19,2
101026,200,21,4162,12,2
101027,200,46,9204,12,1
101028,200,16,3294,17,1
101029,200,11,2127,12,0
101030,200,20,3975,11,2
101031,200,54,10793,18,1
101032,200,50,10096,11,1
101033,200,18,3646,23,0
101034,200,37,7446,11,0
101035,200,54,10851,18,1
101036,200,11,2109,18,0
101037,200,19,3722,13,1
101038,200,47,9380,18,2
101039,200,27,5486,11,3
101040,200,14,2742,15,0
101041,200,69,13757,11,1
101042,200,42,8463,18,0
101043,200,16,3162,14,0
101044,200,83,16598,12,0
101045,200,33,6651,14,1
101046,200,12,2345,14,1
101047,200,17,3420,13,0
101048,200,22,4373,14,2
101049,200,24,4759,18,0
101050,200,27,5301,15,2
101051,200,18,3673,13,0
101052,200,24,4768,12,1
101053,200,6,1274,13,2
101054,200,25,4900,24,1
101055,200,52,10466,14,2
101056,200,85,17007,14,2
101057,200,15,2909,15,1
101058,200,29,5765,11,0
101059,200,23,4599,23,0
101060,200,12,2404,13,1
101061,200,16,3172,11,0
101062,200,10,2033,13,1
101063,200,51,10209,18,0
101064,200,43,8620,14,2
101065,200,10,2064,21,1
101066,200,20,4035,16,0
101067,200,19,3838,11,0
101068,200,23,4591,17,1
101069,200,13,2561,11,0
101070,200,8,1563,14,1
101071,200,24,4898,14,0
101072,200,24,4789,25,1
101073,200,16,3180,13,3
101074,200,33,6549,14,2
101075,200,32,6388,17,0
101076,200,56,11244,25,0
101077,200,80,16032,20,1
101078,200,12,2362,13,0
101079,200,82,16328,13,1
101080,200,42,8376,18,0
101081,200,83,16606,12,1
101082,200,43,8606,19,0
101083,200,11,2272,14,0
101084,200,10,2018,14,0
101085,200,35,7083,14,0
101086,200,20,4084,12,0
101087,200,72,14411,13,0
101088,200,12,2308,25,1
101089,200,24,4841,14,1
101090,200,21,4285,17,0
101091,200,49,9715,13,1
101092,200,22,4320,13,0
101093,200,11,2132,20,1
101094,200,51,10124,14,1
101095,200,27,5473,12,0
101096,200,26,5207,12,1
101097,200,82,16437,21,0
101098,200,11,2296,14,3
101099,200,20,4069,18,0
101100,200,37,7441,12,3
101101,200,12,2430,23,2
101102,200,29,5878,12,1
101103,200,13,2644,21,0
101104,200,32,6439,14,1
101105,200,12,2451,18,2
101106,200,32,6392,13,1
101107,200,49,9714,11,1
101108,200,30,6077,11,0
101109,200,12,2450,19,0
101110,200,46,9250,12,1
101111,200,10,2074,12,1
101112,200,51,10169,16,1
101113,200,24,4855,11,2
101114,200,20,4087,14,1
101115,200,12,2367,12,1
101116,200,15,2972,13,0
101117,200,98,19586,21,1
101118,200,27,5484,17,1
101119,200,10,2061,21,0
101120,200,50,9924,11,1
101121,200,21,4198,12,0
101122,200,34,6815,13,0
101123,200,24,4723,18,0
101124,200,31,6142,16,0
101125,200,41,8237,11,1
101126,200,44,8853,19,1
101127,200,97,19331,16,1
101128,200,10,2073,16,1
101129,200,28,5562,13,1
101130,200,98,19613,22,0
101131,200,17,3407,17,2
101132,200,25,5063,14,1
101133,200,23,4639,15,1
101134,200,24,4876,12,1
101135,200,13,2690,18,1
101136,200,88,17567,15,0
101137,200,12,2408,17,3
101138,200,14,2814,14,0
101139,200,56,11245,15,1
101140,200,17,3312,17,2
101141,200,95,19049,14,1
101142,200,11,2141,12,1
101143,200,29,5769,14,0
101144,200,22,4385,15,1
101145,200,27,5332,13,0
101146,200,23,4663,12,2
101147,200,24,4724,13,1
101148,200,16,3211,14,1
101149,200,27,5377,13,3
101150,200,20,4066,11,2
101151,200,26,5208,11,0
101152,200,24,4877,21,1
101153,200,16,3117,18,0
101154,200,8,1569,12,0
101155,200,98,19658,11,1
101156,200,15,3069,15,1
101157,200,52,10435,13,2
101158,200,21,4148,12,1
101159,200,29,5768,17,3
101160,200,25,5042,13,0
101161,200,29,5770,19,2
101162,200,39,7756,19,1
101163,200,52,10306,17,0
101164,200,20,3936,11,1
101165,200,40,7945,15,0
101166,200,29,5743,11,0
101167,200,76,15202,25,1
101168,200,27,5440,14,2
101169,200,19,3760,13,0
101170,200,18,3517,17,0
101171,200,13,2580,13,0
101172,200,11,2166,14,0
101173,200,29,5869,11,0
101174,200,40,8008,12,2
101175,200,26,5206,17,2
101176,200,26,5295,21,0
101177,200,82,16413,16,2
101178,200,66,13269,15,3
101179,200,14,2783,19,0
101180,200,27,5433,12,1
101181,200,10,2013,11,0
101182,200,70,13966,19,1
101183,200,22,4374,15,0
101184,200,34,6842,20,1
101185,200,87,17426,25,1
101186,200,88,17603,24,1
101187,200,23,4581,24,0
101188,200,24,4735,15,2
101189,200,21,4187,13,1
101190,200,28,5505,14,2
101191,200,27,5470,13,2
101192,200,27,5476,11,2
101193,200,13,2587,16,1
101194,200,12,2440,22,0
101195,200,80,15972,14,3
101196,200,77,15379,14,0
101197,200,35,7082,16,0
101198,200,14,2728,11,0
101199,200,27,5368,25,1
101200,200,27,5347,14,2
101201,200,16,3195,18,3
101202,200,20,3989,11,0
101203,200,17,3306,19,1
101204,200,35,7005,15,0
101205,200,13,2655,11,2
101206,200,7,1393,12,0
101207,200,13,2570,20,0
101208,200,18,3537,12,1
101209,200,20,3986,14,1
101210,200,54,10883,20,1
101211,200,10,2028,18,3
101212,200,48,9525,14,2
101213,200,15,2929,12,0
101214,200,11,2275,21,1
101215,200,39,7879,19,1
101216,200,25,4930,14,0
101217,200,39,7847,17,1
101218,200,22,4401,16,1
101219,200,46,9241,12,0
101220,200,15,2974,17,1
101221,200,23,4502,15,0
101222,200,54,10748,23,1
101223,200,8,1555,11,1
101224,200,65,12936,11,0
101225,200,12,2305,15,3
101226,200,84,16704,11,0
101227,200,17,3433,13,1
101228,200,17,3477,14,1
101229,200,32,6430,19,1
101230,200,33,6516,16,1
101231,200,20,3907,13,3
101232,200,28,5562,14,0
101233,200,34,6883,16,1
101234,200,14,2862,12,1
101235,200,25,4978,11,1
101236,200,52,10368,12,1
101237,200,31,6134,13,3
101238,200,34,6735,15,0
101239,200,16,3295,13,0
101240,200,26,5238,20,0
101241,200,32,6472,15,1
101242,200,48,9610,13,1
101243,200,99,19833,14,0
101244,200,49,9756,21,2
101245,200,25,4968,16,0
101246,200,11,2145,14,1
101247,200,11,2180,11,1
101248,200,42,8346,19,1
101249,200,17,3445,11,0
101250,200,14,2760,13,0
101251,200,31,6294,12,0
101252,200,36,7140,11,1
101253,200,15,2932,14,3
101254,200,26,5147,15,0
101255,200,23,4507,12,0
101256,200,43,8564,20,0
101257,200,12,2468,14,1
101258,200,41,8161,13,3
101259,200,11,2109,13,1
101260,200,26,5294,16,1
101261,200,14,2718,14,0
101262,200,29,5811,16,1
101263,200,12,2437,16,1
101264,200,14,2766,22,3
101265,200,95,19038,12,3
101266,200,15,3055,15,2
101267,200,11,2289,20,2
101268,200,20,4001,14,1
101269,200,65,12965,20,3
101270,200,18,3539,13,0
101271,200,30,6029,12,0
101272,200,13,2679,13,0
101273,200,19,3702,11,1
101274,200,12,2398,17,0
101275,200,27,5468,14,2
101276,200,66,13116,11,0
101277,200,21,4189,14,2
101278,200,97,19328,17,1
101279,200,42,8321,13,1
101280,200,12,2342,12,3
101281,200,20,4071,13,0
101282,200,29,5813,18,0
101283,200,16,3143,19,1
101284,200,10,2044,11,1
101285,200,67,13464,21,0
101286,200,40,7991,15,0
101287,200,17,3377,17,1
101288,200,28,5538,18,2
101289,200,29,5762,14,1
101290,200,13,2592,13,3
101291,200,27,5346,17,1
101292,200,21,4213,15,0
101293,200,21,4127,18,1
101294,200,12,2438,13,0
101295,200,34,6870,12,0
101296,200,52,10447,13,1
101297,200,48,9667,14,0
101298,200,11,2148,11,0
101299,200,45,8926,22,1
101300,200,33,6513,17,1
101301,200,34,6799,21,2
101302,200,81,16291,22,1
101303,200,14,2705,16,1
101304,200,52,10333,12,1
101305,200,22,4448,12,1
101306,200,34,6854,15,1
101307,200,48,9637,14,2
101308,200,18,3591,25,1
101309,200,27,5405,20,2
101310,200,23,4684,13,0
101311,200,79,15787,14,0
101312,200,8,1514,16,0
101313,200,15,2956,17,0
101314,200,12,2335,15,3
101315,200,26,5154,22,2
101316,200,35,6962,22,1
101317,200,28,5675,20,1
101318,200,12,2379,14,0
101319,200,19,3812,13,0
101320,200,23,4648,13,0
101321,200,15,2936,22,2
101322,200,11,2105,12,0
101323,200,43,8578,14,1
101324,200,14,2706,15,1
101325,200,32,6384,17,2
101326,200,20,3968,13,0
101327,200,50,9907,12,0
101328,200,66,13225,12,1
101329,200,18,3540,21,1
101330,200,14,2804,11,0
101331,200,97,19392,13,0
101332,200,98,19665,12,0
101333,200,12,2439,24,0
101334,200,37,7314,21,3
101335,200,24,4774,19,1
101336,200,20,3902,14,3
101337,200,13,2662,20,1
101338,200,14,2856,19,1
101339,200,5,1081,13,0
101340,200,12,2472,23,0
101341,200,28,5673,13,1
101342,200,21,4197,11,1
101343,200,49,9713,13,3
101344,200,10,2062,14,0
101345,200,21,4284,22,1
101346,200,24,4788,11,0
101347,200,30,5906,13,2
101348,200,19,3886,21,0
101349,200,84,16823,11,1
101350,200,15,2933,13,1
101351,200,33,6500,14,0
101352,200,86,17174,11,1
101353,200,25,5033,15,1
101354,200,12,2307,23,1
101355,200,13,2587,16,0
101356,200,28,5507,16,2
101357,200,22,4393,21,1
101358,200,67,13348,13,1
101359,200,33,6583,11,1
101360,200,41,8103,12,0
101361,200,20,3978,12,1
101362,200,13,2544,18,1
101363,200,27,5399,12,0
101364,200,27,5487,14,0
101365,200,34,6834,12,1
101366,200,5,1091,17,0
101367,200,29,5736,19,1
101368,200,11,2226,11,1
101369,200,29,5747,15,0
101370,200,49,9854,11,0
101371,200,27,5467,18,1
101372,200,27,5380,16,1
101373,200,26,5151,25,1
101374,200,11,2133,16,1
101375,200,89,17875,13,1
101376,200,12,2432,14,0
101377,200,24,4771,19,2
101378,200,96,19161,15,0
101379,200,25,5087,12,2
101380,200,14,2863,12,0
101381,200,28,5561,16,1
101382,200,11,2144,14,0
101383,200,15,3065,13,1
101384,200,14,2810,22,0
101385,200,49,9888,21,0
101386,200,43,8628,18,1
101387,200,14,2867,13,0
101388,200,27,5373,12,1
101389,200,33,6667,18,1
101390,200,25,5003,21,0
101391,200,12,2367,12,1
101392,200,14,2858,14,0
101393,200,26,5204,11,0
101394,200,21,4105,14,0
101395,200,48,9679,24,0
101396,200,28,5617,11,0
101397,200,52,10448,13,0
101398,200,14,2897,11,2
101399,200,30,5968,20,3
101400,200,38,7510,17,1
101401,200,15,2991,11,1
101402,200,98,19636,18,1
101403,200,6,1129,11,3
101404,200,67,13341,12,0
101405,200,22,4332,12,0
101406,200,55,11031,20,1
101407,200,22,4440,19,0
101408,200,23,4617,12,0
101409,200,13,2647,13,0
101410,200,32,6323,11,1
101411,200,28,5677,14,1
101412,200,11,2187,14,0
101413,200,19,3748,13,0
101414,200,20,3977,19,1
101415,200,43,8633,23,0
101416,200,10,2008,12,3
101417,200,22,4440,15,2
101418,200,15,3067,19,1
101419,200,27,5321,11,1
101420,200,27,5410,17,1
101421,200,14,2782,22,1
101422,200,60,11957,18,2
101423,200,13,2660,11,1
101424,200,17,3375,12,0
101425,200,25,5098,19,0
101426,200,24,4878,13,1
101427,200,14,2837,13,0
101428,200,12,2406,19,2
101429,200,11,2269,14,1
101430,200,21,4108,13,0
101431,200,66,13206,12,1
101432,200,52,10422,19,2
101433,200,69,13744,25,1
101434,200,25,4907,22,1
101435,200,17,3482,15,2
101436,200,12,2436,12,0
101437,200,12,2380,11,0
101438,200,97,19431,13,0
101439,200,9,1790,19,1
101440,200,38,7644,19,2
101441,200,26,5131,13,3
101442,200,32,6306,21,1
101443,200,24,4787,14,3
101444,200,94,18880,11,0
101445,200,12,2339,11,1
101446,200,68,13570,23,1
101447,200,34,6712,21,2
101448,200,27,5406,24,1
101449,200,45,8938,11,1
101450,200,12,2439,14,0
101451,200,44,8837,16,0
101452,200,27,5343,11,1
101453,200,34,6728,12,2
101454,200,33,6652,13,1
101455,200,24,4850,15,0
101456,200,14,2809,14,0
101457,200,28,5689,14,2
101458,200,10,2001,14,3
101459,200,15,2977,12,1
101460,200,20,4025,13,1
101461,200,19,3785,14,0
101462,200,54,10854,13,1
101463,200,60,12031,11,1
101464,200,50,9936,19,0
101465,200,15,2966,18,0
101466,200,13,2571,17,1
101467,200,50,9991,15,1
101468,200,31,6142,20,1
101469,200,27,5390,14,0
101470,200,22,4404,12,0
